City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,sao vicente,-23.9631,-46.3919,34.1,76,60,2.0,BR,1695785635
316,bathsheba,13.2167,-59.5167,28.34,89,20,2.57,BB,1695785635
317,nemuro,43.3236,145.575,17.58,85,93,2.59,JP,1695785636
318,kupang,-10.1667,123.5833,32.32,55,20,3.6,ID,1695785636
319,broome,42.2506,-75.833,11.22,93,0,1.54,US,1695785636
320,karratha,-20.7377,116.8463,35.84,20,21,6.87,AU,1695785637
321,porangatu,-13.4408,-49.1486,28.93,38,23,1.72,BR,1695785637
322,amga,60.8953,131.9608,12.35,41,0,1.96,RU,1695785637
323,hammerfest,70.6634,23.6821,10.25,93,100,7.2,NO,1695785637
324,east stroudsburg,40.9995,-75.1813,13.22,93,11,2.2,US,1695785637
325,uliastay,47.7417,96.8444,7.74,50,78,5.79,MN,1695785494
326,nuku'alofa,-21.1333,-175.2,26.19,78,20,5.14,TO,1695785638
327,choibalsan,48.0667,114.5,9.33,71,94,7.6,MN,1695785638
328,tura,25.5198,90.2201,29.76,68,4,0.12,IN,1695785638
329,ascension,30.2169,-90.9001,26.15,94,42,0.74,US,1695785639
330,pruzhany,52.5567,24.4644,14.54,92,0,3.16,BY,1695785639
331,selfoss,63.9331,-20.9971,7.8,95,100,4.25,IS,1695785639
332,kyzyl-mazhalyk,51.1333,90.6,6.46,40,67,0.49,RU,1695785639
333,tongouson,5.0214,120.1328,28.24,76,15,7.93,PH,1695785640
334,opuwo,-18.0607,13.84,17.97,14,0,3.63,NA,1695785640
335,saldanha,-33.0117,17.9442,11.03,75,0,3.24,ZA,1695785476
336,maitum,6.0392,124.4986,29.79,63,54,3.28,PH,1695785640
337,nha trang,12.25,109.1833,33.0,62,100,2.65,VN,1695785640
338,yaya,56.206,86.44,9.48,56,0,3.68,RU,1695785641
339,abeche,13.8292,20.8324,27.5,42,19,1.87,TD,1695785641
340,pico truncado,-46.7949,-67.9573,8.5,53,88,13.21,AR,1695785641
341,bellevue,47.6104,-122.2007,13.85,92,100,3.6,US,1695785350
342,el reno,35.5323,-97.955,25.19,49,0,3.6,US,1695785642
343,punta del este,-34.9667,-54.95,12.06,84,75,4.63,UY,1695785402
344,berdigestyakh,62.0989,126.6992,12.1,52,71,2.81,RU,1695785642
345,el granada,37.5027,-122.4694,19.36,79,75,11.32,US,1695785431
346,niquelandia,-14.4739,-48.4597,27.98,36,7,1.22,BR,1695785643
347,bandar abbas,27.1865,56.2808,25.99,50,0,1.03,IR,1695785643
348,vilyuchinsk,52.9306,158.4028,15.15,53,100,2.57,RU,1695785643
349,ebon,4.582,168.6964,29.09,75,100,6.19,MH,1695785643
350,bandar,2.05,99.75,33.03,50,63,1.4,ID,1695785644
351,touros,-5.1989,-35.4608,25.7,72,100,5.21,BR,1695785369
352,auki,-8.7676,160.7034,29.98,63,77,5.28,SB,1695785644
353,ketchikan,55.3422,-131.6461,13.26,94,100,8.23,US,1695785597
354,miyako,39.6367,141.9525,20.95,86,100,0.64,JP,1695785645
355,tangalle,6.024,80.7911,25.09,73,96,5.62,LK,1695785429
356,rikaze,29.25,88.8833,15.08,36,5,0.95,CN,1695785645
357,ishinomaki,38.4167,141.3,21.0,91,100,2.73,JP,1695785645
358,wad az zaki,14.4619,32.2065,27.66,63,99,6.67,SD,1695785646
359,jayapura,-2.5333,140.7,28.66,87,100,3.06,ID,1695785646
360,queenstown,-31.8976,26.8753,4.73,85,25,0.93,ZA,1695785646
361,whitehorse,60.7161,-135.0538,6.43,88,100,1.03,CA,1695785379
362,lamu,-2.2717,40.902,23.12,82,22,4.37,KE,1695785646
